Samplenumber,Setname,Sampletype,Replicate,Species,Standard Length,Body Mass,Ad-Clipped,Site,Latitude,Longitude,Tow/Load,Collection Date,Samplewt,Calcbasis,Lipidiatro Sale Format,Lipidiatro Tg Format,Lipidiatro Ffa Format,Lipidiatro Chol Format,Lipidiatro Pl Format,Cb103 Recovery Format,Hcb Conc Format,Ahch Conc Format,Bhch Conc Format,Lindane Conc Format,Achlor Conc Format,Cnona Conc Format,Bchlor Conc Format,Hept Conc Format,Hpe Conc Format,Nona3 Conc Format,Oxychlor Conc Format,Tnona Conc Format,Aldrin Conc Format,Diel Conc Format,Mirex Conc Format,Eslf1 Conc Format,Cb17 Conc Format,Cb18 Conc Format,Cb28 Conc Format,Cb31 Conc Format,Cb33 Conc Format,Cb44 Conc Format,Cb49 Conc Format,Cb52 Conc Format,Cb66 Conc Format,Cb70 Conc Format,Cb74 Conc Format,Cb82 Conc Format,Cb87 Conc Format,Cb95 Conc Format,Cb99 Conc Format,Cb101 Conc Format,Cb105 Conc Format,Cb110 Conc Format,Cb118 Conc Format,Cb128 Conc Format,Cb138 Conc Format,Cb149 Conc Format,Cb151 Conc Format,Cb153 Conc Format,Cb156 Conc Format,Cb158 Conc Format,Cb170 Conc Format,Cb171 Conc Format,Cb177 Conc Format,Cb180 Conc Format,Cb183 Conc Format,Cb187 Conc Format,Cb191 Conc Format,Cb194 Conc Format,Cb195 Conc Format,Cb199 Conc Format,Cb205 Conc Format,Cb206 Conc Format,Cb208 Conc Format,Cb209 Conc Format,Opddd Conc Format,Opdde Conc Format,Opddt Conc Format,Ppddd Conc Format,Ppdde Conc Format,Ppddt Conc Format,Sum Chlds Conc Format,Sum Ddts Conc Format,Sum Hchs Conc Format,Sum40cbs Conc Format,Bde28 Conc Format,Bde47 Conc Format,Bde49 Conc Format,Bde66 Conc Format,Bde85 Conc Format,Bde99 Conc Format,Bde100 Conc Format,Br5de04 Conc Format,Br5de05 Conc Format,Bde153 Conc Format,Bde154 Conc Format,Br6de01 Conc Format,Bde155 Conc Format,Bde183 Conc Format,Br7de01 Conc Format,Sumbde Conc Format,Samplenote,Record Number,Accessed Date,Source Url,Preferred Citation
112-1340,PS1956,Tissue - whole body,,Chum salmon,97,11,No,Tatoosh Island,48.3931168,-124.7380236,Load 44 #3,2005-07-16 00:00:00,2.032,wet,0,17.3718517147152,49.54629754811,20.4888975151385,12.5929532220361,107.695131327455,0.14,< 0.14,< 0.14,< 0.13,< 0.13,< 0.14,< 0.14,< 0.13,< 0.13,< 0.14,< 0.13,< 0.14,< 0.14,< 0.13,< 0.14,< 0.14,0.057,< 0.14,< 0.14,0.13,< 0.13,< 0.14,< 0.13,0.14,< 0.13,< 0.13,< 0.14,< 0.034,< 0.14,0.13,< 0.13,0.19,0.085,0.21,0.2,< 0.14,0.36,0.18,< 0.14,0.37,< 0.034,< 0.13,< 0.13,< 0.14,< 0.14,< 0.14,< 0.13,< 0.14,< 0.14,< 0.14,< 0.14,< 0.10,< 0.14,< 0.14,< 0.14,< 0.14,< 0.13,< 0.13,< 0.13,< 0.14,0.81,< 0.13,< LOQ,0.81,< LOQ,2.1,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< LOQ,,Row 62 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1341,PS1956,Tissue - whole body,,Chum salmon,87,8.5,No,Tatoosh Island,48.3931168,-124.7380236,Load 46 #1,2005-07-17 00:00:00,2.019,wet,0,0,57.8618484704627,28.8930368718259,13.2451146577112,102.918237927724,< 0.14,< 0.15,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,0.048,< 0.14,< 0.14,0.12,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.035,< 0.14,0.094,< 0.14,0.15,0.076,0.17,0.17,< 0.14,0.27,0.15,< 0.14,0.3,< 0.035,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.11,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,0.51,< 0.14,< LOQ,0.51,< LOQ,1.6,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< LOQ,,Row 63 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1342,PS1956,Tissue - whole body,,Pacific herring,117,17.7,,Destruction Island,47.6745219,-124.4854773,Load 3 #1,2005-06-22 00:00:00,2.008,wet,1.63507179312337,52.4703022258419,27.7122035227282,6.67084235433911,11.5115801039673,107.747177411005,0.39,0.22,0.14,< 0.13,0.17,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.28,< 0.13,0.16,< 0.13,< 0.13,0.048,< 0.13,0.14,0.14,< 0.13,< 0.13,< 0.13,0.2,< 0.13,0.13,< 0.13,0.043,< 0.13,0.23,0.19,0.33,0.11,0.29,0.28,< 0.13,0.49,0.3,< 0.13,0.6,< 0.032,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.13,< 0.13,< 0.13,< 0.13,< 0.097,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.44,3.6,0.13,0.44,4.2,0.36,3.7,< 0.31,0.42,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,0.42,"Homogenate has the color and texture of anchovy, not of herring.  Dar 3/2/10",Row 64 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1591,PS1959,Tissue - whole body,,Surf smelt,143,31.5,,Protection Island,48.1278714,-122.9262842,Load 73 #2,2004-08-03 00:00:00,.992,wet,0,51.9025780492851,27.2243736526928,7.27124815118665,13.6018001468353,122.476170968378,0.38,< 0.38,< 0.37,< 0.36,< 0.36,< 0.37,< 0.37,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,0.73,< 0.36,0.11,< 0.36,0.44,0.36,< 0.36,0.37,0.36,0.61,0.38,0.59,< 0.36,0.12,0.62,1,0.97,1.7,0.57,1.5,1.4,0.4,3.3,1.5,0.54,3.8,< 0.091,< 0.36,< 0.36,< 0.36,< 0.36,0.87,< 0.36,0.89,< 0.36,< 0.36,< 0.36,< 0.27,< 0.36,< 0.37,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,2.6,< 0.36,< LOQ,2.6,< LOQ,23,< 0.86,4.8,< 0.86,< 0.86,< 0.86,1.5,1.2,< 0.86,< 0.86,< 0.85,< 0.86,< 0.86,< 0.86,< 0.86,< 0.86,7.5,,Row 65 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1592,PS1959,Tissue - whole body,,Surf smelt,130,23,,Tatoosh Island,48.3931168,-124.7380236,Load 36 #1,2004-07-14 00:00:00,1.022,wet,14.3690579426713,20.9652181452046,45.8261773090831,8.70066898951499,10.1388776135259,115.076698955195,< 0.33,< 0.34,< 0.34,< 0.33,< 0.33,< 0.34,< 0.34,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,0.45,< 0.33,0.084,< 0.33,0.34,0.26,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.082,< 0.33,0.31,< 0.33,0.43,0.16,0.39,0.4,< 0.33,0.61,< 0.33,< 0.33,0.72,< 0.083,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.25,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.32,< 0.33,1.8,< 0.33,< LOQ,1.8,< LOQ,3.7,< 0.78,< 0.78,< 0.78,< 0.78,< 0.78,< 0.78,< 0.78,< 0.78,< 0.78,< 0.78,< 0.78,< 0.78,< 0.78,< 0.79,< 0.79,< LOQ,,Row 66 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1593,PS1959,Tissue - whole body,,Surf smelt,124,21.8,,Tatoosh Island,48.3931168,-124.7380236,Load 36 #2,2004-07-14 00:00:00,1.032,wet,7.84014175778453,47.6501268863667,30.686322646553,5.72834934934558,8.09505935995012,119.599055533773,< 0.37,< 0.39,< 0.38,< 0.37,< 0.37,< 0.38,< 0.38,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,0.51,< 0.37,< 0.093,< 0.37,0.37,< 0.28,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.093,< 0.37,0.35,< 0.37,0.51,0.21,0.47,0.57,< 0.37,0.89,0.38,< 0.37,1.1,< 0.093,< 0.37,< 0.37,< 0.37,< 0.37,0.43,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.28,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.36,< 0.37,1.4,< 0.37,< LOQ,1.4,< LOQ,5.3,< 0.88,< 0.88,< 0.88,< 0.88,< 0.88,< 0.88,< 0.88,< 0.88,< 0.88,< 0.87,< 0.88,< 0.88,< 0.88,< 0.88,< 0.88,< LOQ,,Row 67 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1594,PS1959,Tissue - whole body,,Surf smelt,139,28.3,,Tatoosh Island,48.3931168,-124.7380236,Load 69 #1,2004-07-23 00:00:00,1.035,wet,0,39.5000748049131,33.6423961340184,10.8671281269211,15.9904009341472,121.746142257814,< 0.34,< 0.36,< 0.35,< 0.34,< 0.34,< 0.35,< 0.35,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,0.71,< 0.34,0.097,< 0.34,0.42,0.29,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.085,< 0.34,0.41,< 0.34,0.5,0.19,0.45,0.44,< 0.35,0.74,0.37,< 0.35,0.87,< 0.086,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.26,< 0.34,< 0.35,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,0.35,2.1,< 0.34,< LOQ,2.5,< LOQ,4.8,< 0.81,< 0.81,< 0.81,< 0.81,< 0.81,< 0.81,< 0.81,< 0.81,< 0.81,< 0.81,< 0.81,< 0.81,< 0.81,< 0.82,< 0.82,< LOQ,,Row 68 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1595,PS1959,Tissue - whole body,,Surf smelt,128,21.7,,Protection Island,48.1278714,-122.9262842,Load 70 #1,2005-08-12 00:00:00,1.016,wet,0,68.43493972091,16.3729684890651,4.86854239039714,10.3235493996276,116.424173381385,0.41,0.4,< 0.36,< 0.34,< 0.34,< 0.35,< 0.36,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.34,0.64,< 0.35,0.1,< 0.35,0.44,0.32,< 0.35,< 0.35,< 0.35,0.51,< 0.35,0.43,< 0.35,< 0.087,0.36,0.62,0.52,0.72,0.28,0.63,0.7,< 0.35,1.3,0.56,< 0.35,1.5,< 0.088,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.26,< 0.35,< 0.35,< 0.35,< 0.35,< 0.34,< 0.35,< 0.34,< 0.35,1,< 0.34,< LOQ,1,0.4,9.1,< 0.82,1.4,< 0.82,< 0.82,< 0.82,< 0.82,< 0.82,< 0.82,< 0.82,< 0.82,< 0.83,< 0.83,< 0.83,< 0.83,< 0.83,1.4,,Row 69 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1596,PS1959,Tissue - whole body,,Surf smelt,148,36.4,,Protection Island,48.1278714,-122.9262842,Load 76 #1,2005-08-12 00:00:00,1.008,wet,0,77.9158796421302,12.0969367654086,2.60681831026759,7.38036528219357,118.574396669766,0.55,0.63,0.45,< 0.36,< 0.36,< 0.37,< 0.37,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,0.55,< 0.36,< 0.091,< 0.36,0.45,0.32,< 0.36,< 0.36,0.37,0.62,< 0.36,0.55,< 0.36,0.13,0.48,0.89,0.92,1.4,0.46,1.2,1.3,0.39,2.8,1.3,0.43,3.1,< 0.091,< 0.36,< 0.36,< 0.36,< 0.36,0.66,< 0.36,0.78,< 0.36,< 0.36,< 0.37,< 0.27,< 0.36,< 0.37,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,1.4,< 0.36,< LOQ,1.4,1.1,19,< 0.86,2.2,< 0.86,< 0.86,< 0.86,< 0.86,< 0.86,< 0.86,< 0.86,< 0.85,< 0.86,< 0.86,< 0.86,< 0.87,< 0.87,2.2,,Row 70 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1597,PS1959,SRM 1947,,,,,,,,,,,1.037,wet,0,95.7918375152648,0,0,4.20816248473518,114.422418301493,5.7,1.2,< 0.36,< 0.35,48,62,12,< 0.35,11,8.8,21,120,< 0.35,56,4.7,< 0.35,0.52,2.2,15,8.4,0.67,19,24,36,64,54,29,3,30,32,69,85,52,84,100,35,200,72,18,220,14,13,28,8.5,21,86,22,62,1.1,14,4.7,19,0.69,6.7,3,1.9,3.4,3.4,16,54,810,67,280,950,1.2,1600,2.5,73,5.7,2.4,< 0.82,23,20,< 0.82,< 0.82,4.4,7.3,< 0.83,< 0.83,< 0.83,< 0.83,140,,Row 71 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1598,PS1959,Method Blank,,,,,,,,,,,1.0195,wet,0,0,0,0,0,115.612572825786,< 0.33,< 0.35,< 0.35,< 0.33,< 0.33,< 0.34,< 0.34,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,0.63,< 0.33,< 0.084,< 0.33,< 0.34,< 0.25,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.34,< 0.084,< 0.34,0.22,< 0.33,< 0.34,0.12,< 0.33,< 0.34,< 0.34,< 0.34,< 0.33,< 0.34,< 0.50,< 0.084,< 0.33,< 0.33,< 0.34,< 0.34,< 0.34,< 0.33,< 0.33,< 0.34,< 0.34,< 0.34,< 0.25,< 0.34,< 0.34,< 0.34,< 0.34,< 0.33,< 0.33,< 0.33,< 0.34,< 0.33,< 0.33,< LOQ,< LOQ,< LOQ,0.33,< 0.79,< 0.79,< 0.79,< 0.79,< 0.79,< 0.79,< 0.79,< 0.79,< 0.79,< 0.79,< 0.80,< 0.80,< 0.80,< 0.80,< 0.80,< LOQ,,Row 72 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1343,PS1956,Tissue - whole body,,Pacific herring,116,16.5,,Destruction Island,47.6745219,-124.4854773,Load 10 #1,2005-06-22 00:00:00,2.004,wet,0,67.1704423630892,22.3992567349092,5.03763459421225,5.39266630778929,104.682997343153,0.58,0.38,0.3,< 0.12,0.19,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.21,< 0.12,0.37,< 0.12,< 0.12,0.053,0.14,0.16,0.16,< 0.12,0.12,< 0.12,0.21,< 0.12,0.15,< 0.12,0.039,< 0.12,0.21,0.17,0.3,0.12,0.27,0.26,< 0.12,0.5,0.27,< 0.12,0.55,< 0.029,< 0.12,< 0.12,< 0.12,< 0.12,0.12,< 0.12,0.12,< 0.12,< 0.12,< 0.12,< 0.088,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.11,0.55,2.6,0.14,0.39,3.3,0.68,3.9,< 0.28,0.44,< 0.28,< 0.28,< 0.28,< 0.28,< 0.28,< 0.28,< 0.28,< 0.28,< 0.28,< 0.28,< 0.28,< 0.28,< 0.28,0.44,"Homogenate has the color and texture of anchovy, not of herring.  Dar 3/2/10",Row 73 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1344,PS1956,Tissue - whole body,,Pacific herring,120,19.1,,Destruction Island,47.6745219,-124.4854773,Load 11 #1,2005-06-22 00:00:00,2.024,wet,0,69.2102965380689,14.7528209276932,2.67077344113372,13.3661090931041,105.086661349262,0.6,0.79,0.55,< 0.15,0.18,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,0.17,< 0.15,0.36,< 0.15,< 0.15,0.058,0.15,0.16,0.17,< 0.15,< 0.15,< 0.15,0.18,< 0.15,< 0.15,< 0.15,0.039,< 0.15,0.17,< 0.15,0.23,0.096,0.23,0.22,< 0.15,0.41,0.24,< 0.15,0.45,< 0.037,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.11,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,0.32,2.2,< 0.15,0.35,2.5,1.3,2.8,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< 0.35,< 0.36,< 0.36,< 0.36,< 0.36,< 0.36,< LOQ,"Homogenate has the color and texture of anchovy, not of herring.  Dar 3/2/10",Row 74 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1345,PS1956,Tissue - whole body,,Pacific herring,138,30,,Destruction Island,47.6745219,-124.4854773,Load 69 #2,2005-08-10 00:00:00,2.03,wet,0,81.894748791618,6.2550602150843,1.60005299592251,10.2501379973751,106.267780208582,1.3,1.2,0.92,0.19,0.4,0.14,< 0.13,< 0.13,0.16,< 0.13,0.17,0.4,< 0.13,0.68,< 0.13,< 0.13,0.075,0.21,0.28,0.25,0.15,0.17,0.16,0.33,0.14,0.22,< 0.13,0.052,0.16,0.31,0.22,0.4,0.14,0.35,0.32,< 0.13,0.54,0.32,< 0.13,0.64,< 0.032,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.13,< 0.13,< 0.13,< 0.13,< 0.097,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.87,4.4,0.19,1.3,5.5,2.3,5.6,< 0.31,0.47,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,0.47,,Row 75 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1346,PS1956,Tissue - whole body,,Pacific herring,120,17.9,,Protection Island,48.1278714,-122.9262842,Load 8 #1,2005-06-29 00:00:00,2.027,wet,0,24.0224793863875,39.8685649682433,9.37459702803872,26.7343586173304,104.192091273219,0.16,< 0.16,< 0.16,< 0.15,< 0.15,< 0.16,< 0.16,< 0.15,< 0.15,< 0.15,< 0.15,0.19,< 0.15,0.16,< 0.15,< 0.15,0.049,< 0.15,0.16,0.15,< 0.15,< 0.15,< 0.15,0.26,< 0.15,< 0.15,< 0.15,0.053,< 0.15,0.36,0.69,0.88,0.31,0.75,0.76,0.26,2.3,1.3,0.36,3,< 0.039,< 0.15,0.21,< 0.15,0.21,0.53,0.23,0.72,< 0.15,< 0.15,< 0.15,0.17,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,0.19,2.2,< 0.15,0.19,2.4,< LOQ,14,< 0.37,2.1,0.82,< 0.37,< 0.37,< 0.37,0.66,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,< 0.37,3.6,,Row 76 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1347,PS1956,Tissue - whole body,,Pacific herring,121,19.3,,Protection Island,48.1278714,-122.9262842,Load 8 #2,2005-06-29 00:00:00,2.045,wet,1.41747474449665,42.7702281310403,27.7908270638288,7.49342079461862,20.5280492660155,109.64610367605,0.31,0.21,0.19,< 0.13,0.22,0.15,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.32,< 0.13,0.23,< 0.13,< 0.13,0.052,< 0.13,0.19,0.16,< 0.13,0.19,0.16,0.44,0.19,0.24,0.14,0.087,0.32,0.72,0.85,1.4,0.38,1,1,0.34,2.9,1.8,0.45,3.9,0.13,0.21,0.28,< 0.13,0.31,0.77,0.32,1.1,< 0.13,< 0.13,< 0.13,0.24,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.34,2.5,0.13,0.68,2.9,0.4,20,< 0.31,4,1.4,< 0.31,< 0.31,1.1,1,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,7.5,,Row 77 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1348,PS1956,SRM 1947,,,,,,,,,,,1.009,wet,0,94.4929759656751,0,0,5.50702403432488,107.930277718116,6.4,1.2,< 0.32,0.39,51,67,13,< 0.31,12,9.6,22,130,< 0.31,78,4.6,< 0.31,0.58,2.4,16,9.9,0.55,20,26,39,70,58,31,3.2,32,35,74,94,55,92,110,38,220,77,19,240,15,14,31,9.1,23,89,24,66,1.2,15,4.5,21,0.84,7.2,3.4,2.1,3.8,3.5,18,59,860,73,310,1000,1.6,1700,2.7,76,6.7,2.2,< 0.75,25,22,< 0.75,< 0.75,4.8,8,< 0.76,< 0.76,< 0.76,< 0.76,150,,Row 78 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
